Date,GOES_class,Start_time,End_time,Instrument,Wavelength,dBIC_0v1,dBIC_0v2,dBIC_2v1,Detection,rchi2_m0,probability_m0,rchi2_m1,probability_m1,rchi2_m2,probability_m2,period,width,Flags
20121009,M1.7,232200,233458,GOES,1-8A,-4.77618,16.19364,-20.9698,No,0.91414588601136204,0.64035391968641542,0.85068847202997311,0.75394016954519549,0.76448955491599602,0.87875250338641997,,,[]
20121010,M1.0,045100,051959,GOES,1-8A,-7.09492,1.191886,-8.28680,No,1.086555175302252,0.25560201417343664,1.0875810055458273,0.25399526609542472,1.0777314431323024,0.2759259676858089,,,[]
20121020,M9.0,180500,181859,GOES,1-8A,-0.61234,19.62127,-20.2336,No,1.0920523997318521,0.30295045624205352,1.1068076621386218,0.28018705082150164,1.0269842536941438,0.42055423185370228,,,[]
20121021,M1.3,194600,201957,GOES,1-8A,27.05489,81.02046,-53.9655,No,1.1063658342488962,0.19745136089452295,1.0369983976528196,0.37106354533953589,0.88779456003185098,0.80873011120754212,13.9,0.24999999991599112,[]
20121022,M5.0,183800,190059,GOES,1-8A,58.82351,22.43439,36.38912,Yes,1.1943543156555769,0.10871034022304236,1.0600726537084124,0.33340588018657086,1.0440877053615969,0.37012154054990271,14.0,0.16502318024184506,[]
20121120,M1.7,123601,124559,GOES,1-8A,2.443872,20.12401,-17.6801,No,1.0184448084013413,0.43788682735167761,0.91662945550263353,0.61032623220199445,0.85221449535597282,0.71769756235266247,260.0,0.088178583263856247,[]
20121120,M1.6,192100,193158,GOES,1-8A,4.449428,14.16392,-9.71449,No,1.1286121270790939,0.26661739199188589,0.96094976374583163,0.53907728040306147,0.80181059108346064,0.80617021509717468,16.9,0.25,[]
20121121,M1.4,064500,070758,GOES,1-8A,44.31635,10.44421,33.87214,Yes,1.3463594483387102,0.019128443890377416,1.0499466613161397,0.35654283563166089,1.2138463056935529,0.089960234726351521,35.6,0.25,[]
20121121,M3.5,151000,153759,GOES,1-8A,2.440709,-1.30000,3.740718,No,0.96549733525252113,0.58022040226576288,0.96302497187470693,0.58682292497773814,0.95636813371890461,0.60583646767329047,24.2,0.050000000000000003,[]
20121127,M1.6,155200,160259,GOES,1-8A,30.66229,-0.44100,31.10330,Yes,0.96095853989972857,0.54033094304147178,0.77965851515128659,0.83603377094086351,0.96787898413288298,0.52723158666829906,11.6,0.25,[]
20121127,M1.0,210500,212959,GOES,1-8A,1.201660,16.68586,-15.4842,No,0.97067562588097944,0.55969931033300102,0.89083027979842888,0.76169384898831416,0.85045771014038318,0.84393160811171386,19.8,0.25,[]
20121128,M2.2,212001,214759,GOES,1-8A,67.34456,85.06978,-17.7252,No,1.6659868528050257,3.181427427343612e-05,1.3541018060889838,0.010705733462198578,1.2217964776560424,0.065298089699496853,14.5,0.24672558787902174,['B0']
20130105,M1.7,092601,093358,GOES,1-8A,12.00412,3.274050,8.730072,No,1.299139218852583,0.13148916940734207,0.94635416284415586,0.54517295120531517,1.1783389275359608,0.23598426035584871,16.0,0.25,[]
20130111,M1.2,084302,091659,GOES,1-8A,8.731748,-5.73653,14.46827,No,0.98647600135527747,0.52568357206344885,0.93993566977771326,0.669333591791617,0.95947521327585261,0.61022460604404705,44.1,0.06977688362000567,[]
20130111,M1.0,145101,152359,GOES,1-8A,-15.3847,0.929764,-16.3145,No,0.86376339276708114,0.85575900836222218,0.83661967642568424,0.90164425404286797,0.8177202955579701,0.92757465663531657,,,[]
20130113,M1.0,004500,005158,GOES,1-8A,15.62438,0.045145,15.57923,Yes,1.1559774787009667,0.26814169580685321,0.59245080866717992,0.94261685551832242,0.83178728862138585,0.70146396520233867,13.6,0.13596599693573902,[]
20130113,M1.7,083501,083958,GOES,1-8A,-6.76609,-7.58764,0.821542,No,0.46691868722646207,0.96999927493551497,0.4148053841299853,0.98211633035854717,0.46846852502573549,0.96731110505424944,,,['S']
20130217,M1.9,154501,155159,GOES,1-8A,5.577844,-2.97582,8.553665,No,1.060764225242691,0.38032717349424688,0.82851757633378376,0.70463915998501014,0.907889778199095,0.59355102153155403,7.7,0.050000000000000003,[]
20130305,M1.2,074700,075859,GOES,1-8A,-10.6186,-7.99510,-2.62349,No,0.56319476649612277,0.99091832930085633,0.56094091193730056,0.99075780088342735,0.548507037949304,0.99283753359499705,,,[]
20130315,M1.1,054601,083458,GOES,1-8A,-11.2287,-11.4563,0.227562,No,0.99346760842628601,0.53829236342396902,0.98933698787989677,0.56711906301747772,0.99027513470304107,0.56059848212312491,,,[]
20130321,M1.6,214209,223559,GOES,1-8A,12.65616,6.979651,5.676509,No,1.027624188327686,0.38022379374142357,0.919382022032743,0.7841059590754923,0.94070848921212058,0.71400588177203717,65.6,0.24999999999999997,[]
20130405,M2.2,173400,180358,GOES,1-8A,-8.01031,6.654893,-14.6652,No,1.4701715798351138,0.0010103168297491767,1.4009531865902976,0.0037369078675394646,1.4512487567283312,0.001481506747890054,,,"['B0', 'B1', 'B2']"
20130411,M6.5,065501,072859,GOES,1-8A,33.69821,16.30622,17.39198,Yes,1.2089783192941046,0.056683951912132415,1.2616731770579255,0.026315756777106313,1.1722176375462934,0.092884830010649122,67.9,0.17452695606018936,[]
20130412,M3.3,195201,204559,GOES,1-8A,-7.64497,29.03125,-36.6762,No,1.0182974850806328,0.41525601350988334,1.0076447596742655,0.45653281865973411,0.95826830497785431,0.65017472572038226,,,[]
20130422,M1.0,102201,103059,GOES,1-8A,-1.45354,1.280423,-2.73396,No,0.67146694826387354,0.9213538450272899,0.55454340905454635,0.97948253977959188,0.60217586194127348,0.96218394964692722,,,[]
20130502,M1.1,045801,051858,GOES,1-8A,3.702795,0.791360,2.911435,No,1.0715058717727388,0.3137971487134027,0.96332076144771395,0.56895837935393301,1.0274335110351276,0.41239515475335164,29.5,0.0543548319223199,[]
20130503,M1.3,163900,172159,GOES,1-8A,-13.2823,-8.85345,-4.42886,No,0.95942529243847474,0.62793558872315902,0.97079320067327157,0.58809825687810457,0.96203099207331477,0.61871262216458822,,,[]
20130503,M5.7,172401,174059,GOES,1-8A,19.74010,10.07047,9.669633,No,1.1853669134300555,0.15155933470318156,0.85024598742216306,0.7908146689838863,0.90642812838425046,0.68187205426479425,29.0,0.24999999999991954,[]
20130505,M1.4,174201,175758,GOES,1-8A,2.037927,21.28185,-19.2439,No,0.74239083077220747,0.92805607981892613,0.7175183164043869,0.94686716721589426,0.6837456074415349,0.96775005237951806,46.9,0.25,[]
20130510,M3.9,004401,010759,GOES,1-8A,53.87719,73.40887,-19.5316,No,1.6588964475475074,0.00010832199299801737,1.2638969062485974,0.049223189871144088,1.2372176200289418,0.06639582432709179,26.3,0.25,['B0']
20130510,M1.3,123700,130358,GOES,1-8A,-15.0541,3.703857,-18.7580,No,0.91413841071619384,0.71634184502881404,0.91113203469454818,0.7229930192360301,0.84414271507204808,0.86512597627961407,,,[]
20130512,M1.9,201701,210259,GOES,1-8A,451.6382,173.4070,278.2312,Yes,3.3429350642990636,7.6245421577546626e-44,1.061652984957532,0.27809793455971688,2.1893699487487353,6.607315956270645e-17,12.6,0.050000000000000003,"['B0', 'B2']"
20130512,M1.2,223700,225159,GOES,1-8A,-5.01741,13.77384,-18.7912,No,1.2057575629887005,0.14256197688209113,1.0971981986258268,0.29071677887135089,1.0697804112673812,0.33810049227177486,,,[]
20130513,X1.7,015301,023158,GOES,1-8A,48.48878,13.19653,35.29225,Yes,1.2011073214076886,0.052399610799138796,0.8834317967623917,0.83493136708028448,1.0238693267483423,0.40602875296588442,35.1,0.24999999999997707,[]
20130513,M1.3,115700,120859,GOES,1-8A,5.501196,-2.42558,7.926781,No,0.8721655578368066,0.70860727785544642,0.76659526256428923,0.86420355993975539,0.80132316233135525,0.81967560951509677,12.1,0.092472067061062729,[]
20130513,X2.8,154801,161558,GOES,1-8A,51.23302,8.742511,42.49051,Yes,1.2472216290289684,0.046302071879151065,0.99353692890975731,0.49963064293461412,1.1375336308938009,0.16271742655484997,25.8,0.14097994606934025,[]
20130514,X3.2,000001,011959,GOES,1-8A,206.9881,220.3940,-13.4059,No,0.52288910850466319,0.99999999999905953,0.46026275180512333,0.99999999999999989,0.3930326970350389,1.0,23.9,0.24999999986738278,[]
